Date,Open,High,Low,Close,Volume,Adjusted,Change,Gains,Losses,Average gains,Average losses,RS value,RSI value 
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,126.294003,0,0,0,0,0,0,0.0 
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,124.863292,-1.430711,0,1.430711,0,0,0,0.0 
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,125.235672,0.37238,0.37238,0,0,0,0,0.0 
2015-06-05,129.50,129.690002,128.360001,128.649994,35626800,126.068608,0.832936,0.832936,0,0,0,0,0.0 
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,126.764368,0.69576,0.69576,0,0,0,0,0.0 
2015-06-03,130.660004,130.940002,129.899994,130.119995,30889400,127.509113,0.744745,0.744745,0,0,0,0,0.0 
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,127.352335,-0.156778,0,0.156778,0,0,0,0.0 
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,127.920684,0.568349,0.568349,0,0,0,0,0.0 
2015-05-29,131.229996,131.449997,129.899994,130.279999,50884500,127.665906,-0.254778,0,0.254778,0,0,0,0.0 
2015-05-28,131.860001,131.949997,131.100006,131.779999,30733300,129.135808,1.469902,1.469902,0,0,0,0,0.0 
2015-05-27,130.339996,132.259995,130.050003,132.039993,45833200,129.390586,0.254778,0.254778,0,0,0,0,0.0 
2015-05-26,132.600006,132.910004,129.119995,129.619995,70697600,127.019145,-2.371441,0,2.371441,0,0,0,0.0 
2015-05-22,131.600006,132.970001,131.399994,132.539993,45596000,129.880553,2.861408,2.861408,0,0,0,0,0.0 
2015-05-21,130.070007,131.630005,129.830002,131.389999,39730400,128.753634,-1.126919,0,1.126919,0,0,0,0.0 
2015-05-20,130.00,130.979996,129.339996,130.059998,36454900,127.450319,-1.303315,0,1.303315,0.557161285714,0.381473357143,1.46055098025,59.3586961609 
2015-05-19,130.690002,130.880005,129.639999,130.070007,44633200,127.460128,0.009809,0.009809,0,0.557161285714,0.474567285714,1.17404065237,54.0027000457 
2015-05-18,128.380005,130.720001,128.360001,130.190002,50882900,127.577716,0.117588,0.117588,0,0.557861928571,0.372373642857,1.49812410001,59.9699630616 
2015-05-15,129.070007,129.490005,128.210007,128.770004,38208000,126.18621,-1.391506,0,1.391506,0.5396625,0.372373642857,1.44924999487,59.1711747639 
2015-05-14,127.410004,128.949997,127.160004,128.949997,45203500,126.362591,0.176381,0.176381,0,0.480167071429,0.471766928571,1.01780570521,50.441214562 
2015-05-13,126.150002,127.190002,125.870003,126.010002,34694200,123.481588,-2.881003,0,2.881003,0.443068571429,0.471766928571,0.9391683575,48.4315017759 
2015-05-12,125.599998,126.879997,124.82,125.870003,48160000,123.344397,-0.137191,0,0.137191,0.3898725,0.677552857143,0.575412672074,36.5245679608 
